TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.aelitis.azureus.core.peermanager.utils.BTPeerIDByteDecoderUtils,BRANCH,MOSA,199,196,20,185,1256,152486,65418,65419,221537,70,70,85,85,1000,0.9296482412060302,0.6429310394400718
net.sourceforge.squirrel_sql.client.gui.MemoryPanel,BRANCH,MOSA,66,52,18,1,688,117321,35490,35491,203000,1,1,2,2,1000,0.015151515151515152,0.0
weka.classifiers.trees.DecisionStump,BRANCH,MOSA,133,128,20,23,659,176290,34570,34571,197251,16,16,64,64,1000,0.17293233082706766,0.7193030623345027
weka.core.Javadoc,BRANCH,MOSA,70,58,26,68,664,491179,35021,35022,210532,15,15,52,52,1000,0.9714285714285714,1.741161013846558
Newzgrabber.Downloader,BRANCH,MOSA,268,254,20,34,79,26899,4126,4127,193804,16,16,78,78,1000,0.12686567164179105,1.029884692684257
framework.util.ConvertUtils,BRANCH,MOSA,208,172,46,208,48,26362,2579,2580,33712,80,80,393,393,1000,1.0,1.0709032619405026
com.browsersoft.openhre.hl7.impl.regular.MessageTracerImpl,BRANCH,MOSA,61,52,18,29,961,312139,49891,49892,192947,15,15,57,57,1000,0.47540983606557374,1.1546602132490158
org.gudy.azureus2.ui.swt.views.tableitems.files.FileHashItemBase,BRANCH,MOSA,92,88,9,1,903,110201,42077,42078,198458,1,1,1,1,1000,0.010869565217391304,0.0
com.liferay.portal.security.pacl.checker.BaseChecker,BRANCH,MOSA,89,76,15,27,583,130831,30610,30611,191391,14,14,44,44,1000,0.30337078651685395,0.7221089739962426
com.liferay.portlet.messageboards.action.EditMessageAction,BRANCH,MOSA,97,92,11,9,1011,272424,52775,52776,206645,7,7,30,30,1000,0.09278350515463918,0.6931471805599453
net.sourceforge.squirrel_sql.fw.gui.GUIUtils,BRANCH,MOSA,112,104,21,66,55,16949,2833,2834,241377,23,23,122,122,1000,0.5892857142857143,0.48950547712265013
dk.statsbiblioteket.summa.search.document.DocumentSearcherImpl,BRANCH,MOSA,69,52,21,28,82,25218,4218,4219,196087,15,15,65,65,1000,0.4057971014492754,1.2192382345634292
dk.statsbiblioteket.summa.common.Logging,BRANCH,MOSA,139,130,22,132,496,333270,24617,24618,188030,48,48,224,224,1000,0.9496402877697842,0.8144497192437875
